Feature ID,NRNS - NRNSA - Expression values,NRNS - NRNSB - Expression values,NRNS - NRNSC - Expression values,NRS - NRSA - Expression values,NRS - NRSB - Expression values,NRS - NRSC - Expression values
Medtr0021s0120,713,716,741,925,834,731
Medtr0021s0130,12,13,17,19,9,13
Medtr0021s0140,39,34,35,37,54,46
Medtr0021s0160,0,0,4,0,2,2
Medtr0021s0190,0,0,0,0,0,0
Medtr0021s0200,0,0,0,0,0,0
Medtr0021s0240,0,0,0,0,0,0
Medtr0021s0250,0,0,0,0,0,0
Medtr0021s0270,0,0,0,0,0,0
Medtr0021s0280,0,0,0,0,0,0
Medtr0021s0360,90,171,180,119,237,130
Medtr0021s0370,5,1,4,9,11,12
Medtr0021s0380,0,0,0,0,0,0
Medtr0022s0020,0,0,0,0,0,0
Medtr0022s0200,4,5,8,4,5,9
Medtr0022s0280,278,276,255,304,313,315
Medtr0022s0290,27,32,40,35,24,23
Medtr0022s0300,406,414,422,403,495,413
Medtr0022s0330,0,0,0,0,0,0
Medtr0022s0360,174,177,151,165,162,148
Medtr0022s0370,0,0,0,0,0,0
Medtr0022s0430,515,592,493,530,488,451
Medtr0022s0450,0,0,0,0,0,0
Medtr0022s0460,0,0,0,0,0,0
Medtr0022s0480,0,0,0,0,0,0
Medtr0023s0130,0,0,0,0,0,0
Medtr0023s0160,0,0,0,0,0,0
Medtr0023s0210,0,0,0,0,0,0
Medtr0023s0240,0,0,0,0,0,0
Medtr0023s0260,0,0,0,0,0,0
Medtr0023s0280,0,0,0,0,0,0
Medtr0023s0340,0,0,0,0,0,0
Medtr0023s0370,0,0,0,0,0,0
Medtr0024s0010,11,9,12,11,13,8
Medtr0024s0020,224,229,283,231,288,235
Medtr0024s0040,0,0,0,0,0,0
Medtr0024s0060,306,338,321,261,350,292
Medtr0024s0070,927,790,826,816,1084,963
Medtr0024s0080,0,0,0,0,0,1
Medtr0024s0090,0,0,0,0,0,0
Medtr0024s0100,0,0,0,0,0,0
Medtr0024s0110,2,2,0,2,0,0
Medtr0024s0120,0,0,0,0,1,0
Medtr0024s0130,0,0,0,0,0,0
Medtr0024s0140,0,0,0,0,0,0
Medtr0024s0150,0,0,0,0,0,0
Medtr0024s0160,0,0,0,0,0,0
Medtr0024s0170,0,0,0,0,0,0
Medtr0024s0180,0,0,0,0,0,0
Medtr0024s0190,0,0,0,0,0,0
Medtr0024s0220,4555,4601,4325,3880,7110,4191
Medtr0024s0240,2,1,2,3,1,2
Medtr0024s0250,0,0,0,0,0,0
Medtr0024s0260,186,271,137,386,294,400
Medtr0024s0300,0,0,0,0,0,0
Medtr0024s0310,1,1,0,0,0,2
Medtr0024s0320,1,0,0,0,1,0
Medtr0024s0330,319,265,296,214,409,289
Medtr0024s0340,0,0,0,0,0,0
Medtr0025s0030,0,0,0,0,0,0
Medtr0025s0050,0,0,0,0,0,0
Medtr0025s0060,5559,6481,6339,4909,5815,5190
Medtr0025s0110,10,6,13,4,11,23
Medtr0026s0010,1329,815,633,1104,677,569
Medtr0026s0160,80,118,135,88,144,110
Medtr0026s0190,0,0,0,0,0,0
Medtr0026s0200,248,309,243,268,260,272
Medtr0026s0210,120,208,336,108,115,395
Medtr0026s0220,0,0,0,0,0,0
Medtr0026s0230,0,0,0,0,0,0
Medtr0027s0010,0,0,0,0,3,0
Medtr0027s0030,0,0,0,0,0,0
Medtr0027s0040,0,0,0,0,0,0
Medtr0027s0090,335,279,279,314,372,352
Medtr0027s0100,0,0,0,0,0,0
