Feature ID,salt,salt,salt,salt,salt,salt
Medtr0009s0390,1205,2298,1514,1670,2455,2339
Medtr0009s0400,2,1,2,2,1,1
Medtr0009s0410,3,0,2,2,0,0
Medtr0009s0480,2935,2759,3548,2347,2382,3195
Medtr0009s0490,0,0,0,0,0,0
Medtr0009s0500,58,90,50,55,56,67
Medtr0010s0050,4,3,3,7,1,2
Medtr0010s0110,0,0,0,0,0,0
Medtr0010s0130,0,0,0,0,0,0
Medtr0010s0190,0,0,0,0,0,0
Medtr0010s0200,0,0,0,0,0,0
Medtr0010s0210,22,55,39,42,62,59
Medtr0010s0220,449,729,496,556,748,658
Medtr0010s0270,0,0,0,0,0,0
Medtr0010s0290,0,0,0,0,0,0
Medtr0010s0310,0,0,0,0,0,0
Medtr0010s0320,0,0,0,0,0,0
Medtr0010s0350,0,0,0,0,0,0
Medtr0010s0360,0,0,0,0,0,0
Medtr0010s0370,0,0,0,0,0,0
Medtr0010s0390,0,0,0,0,0,0
Medtr0010s0400,99,173,145,151,248,184
Medtr0011s0020,218,469,233,342,494,378
Medtr0011s0100,0,0,0,0,0,0
Medtr0011s0210,0,0,0,0,0,0
Medtr0011s0260,0,0,0,0,0,0
Medtr0011s0270,0,0,0,0,0,0
Medtr0011s0280,3,1,2,372,385,343
Medtr0011s0290,5,3,7,2,0,4
Medtr0011s0300,42,57,41,43,64,52
Medtr0011s0310,6,13,10,6,16,9
Medtr0011s0320,472,768,682,859,806,882
Medtr0011s0330,364,629,435,449,787,608
Medtr0012s0070,0,0,0,0,0,0
Medtr0012s0090,277,450,385,364,482,371
Medtr0012s0100,57,60,62,46,71,81
Medtr0012s0110,107,155,105,138,153,158
Medtr0012s0140,0,0,0,0,0,0
Medtr0012s0150,0,2,1,0,2,2
Medtr0012s0160,0,0,0,0,0,0
Medtr0012s0170,0,0,0,0,0,0
Medtr0012s0220,0,0,0,0,0,0
Medtr0012s0240,0,0,0,0,0,0
Medtr0012s0280,0,0,0,0,0,0
Medtr0012s0290,7,33,35,208,98,102
Medtr0013s0060,0,0,0,0,0,0
Medtr0013s0070,0,0,0,0,0,0
Medtr0013s0080,0,0,0,0,0,0
Medtr0013s0100,0,1,0,1,2,0
Medtr0013s0120,34,59,38,43,60,43
Medtr0013s0130,0,0,0,0,0,0
Medtr0013s0150,686,764,782,595,708,816
Medtr0013s0190,0,0,0,0,0,0
Medtr0013s0230,203,543,288,403,479,247
Medtr0013s0270,0,0,0,0,0,0
Medtr0013s0290,0,0,0,0,0,0
Medtr0013s0330,0,0,0,0,0,0
Medtr0013s0400,0,0,0,0,0,0
Medtr0014s0010,0,0,0,0,0,0
Medtr0014s0040,65,79,64,59,70,90
Medtr0014s0110,0,0,0,0,0,0
Medtr0014s0120,0,0,0,0,0,0
Medtr0014s0140,0,0,0,0,0,0
Medtr0014s0150,0,0,0,0,0,0
Medtr0014s0180,2,5,4,5,6,4
Medtr0014s0200,0,1,0,1,1,3
Medtr0014s0210,66,82,63,62,79,70
Medtr0014s0220,0,0,0,0,0,0
Medtr0014s0250,32,36,21,33,36,43
Medtr0014s0260,23,29,19,19,25,17
Medtr0014s0300,4,3,3,2,1,5
Medtr0014s0310,1,2,1,1,1,2
Medtr0014s0350,0,0,0,0,0,0
Medtr0014s0390,0,0,0,0,0,0
Medtr0014s0410,0,0,0,0,0,0
Medtr0014s0420,0,0,0,0,0,0
Medtr0014s0440,698,820,714,749,573,815
Medtr0014s0490,0,0,0,0,0,0
Medtr0015s0020,0,0,0,0,0,0
Medtr0015s0030,36,35,19,94,28,27
Medtr0015s0060,5,11,8,23,16,5
Medtr0015s0090,1,4,1,24,3,4
Medtr0015s0100,0,0,0,0,0,0
Medtr0015s0110,368,445,414,340,453,398
Medtr0015s0120,0,0,0,1,0,1
Medtr0015s0130,515,818,574,600,732,654
Medtr0015s0140,544,628,597,532,648,594
Medtr0015s0160,0,0,0,0,0,0
Medtr0015s0170,0,0,0,0,0,0
Medtr0015s0230,0,0,0,0,0,0
Medtr0016s0010,0,0,0,0,0,0
Medtr0016s0020,10,9,6,7,10,5
Medtr0016s0030,26,17,19,17,20,21
Medtr0016s0040,16,24,34,18,22,18
Medtr0016s0050,2,1,0,1,1,0
Medtr0016s0060,8,8,10,7,2,5
Medtr0016s0150,0,0,0,0,0,0
Medtr0016s0170,55,49,40,103,51,67
Medtr0017s0080,0,0,0,0,0,0
Medtr0017s0090,0,0,0,0,0,0
Medtr0017s0100,1,2,0,0,2,0
Medtr0017s0160,0,0,0,0,0,0
Medtr0017s0190,0,0,0,0,0,0
Medtr0017s0200,1,0,0,0,0,0
Medtr0017s0230,0,0,0,0,0,0
Medtr0017s0240,0,0,0,0,0,0
Medtr0017s0270,0,0,0,0,0,0
Medtr0017s0290,0,0,0,0,0,0
Medtr0018s0050,0,0,0,0,0,0
Medtr0018s0090,1162,1162,1186,995,1169,1260
Medtr0018s0170,12,17,17,22,17,23
Medtr0018s0220,6,2,3,12,6,1
Medtr0018s0230,44,38,37,62,68,46
Medtr0018s0240,0,1,1,1,0,0
Medtr0018s0260,804,1046,939,989,1016,946
Medtr0018s0290,305,487,354,336,530,437
Medtr0018s0300,0,0,0,0,0,0
Medtr0018s0310,6,5,5,9,6,4
Medtr0018s0320,351,314,327,318,297,347
